name,lat,lng,max_temp,percent_humidity,percent_cloudiness,wind_speed,current_description
chuy,-33.6971,-53.4616,291.41,82,16,2.75,moderate rain
pimentel,-6.8367,-79.9342,294.26,88,97,0.89,overcast clouds
vila franca do campo,37.7167,-25.4333,287.15,77,40,4.63,scattered clouds
carnarvon,-24.8667,113.6333,301.15,100,40,6.69,scattered clouds
nuuk,64.1835,-51.7216,272.15,40,20,2.06,few clouds
saint-philippe,-21.3585,55.7679,300.15,61,90,3.6,overcast clouds
cape town,-33.9258,18.4232,292.04,72,0,5.66,clear sky
ponta do sol,32.6667,-17.1,287.59,74,44,1.34,scattered clouds
atuona,-9.8,-139.0333,299.67,74,8,9.2,clear sky
saint-philippe,-21.3585,55.7679,300.15,61,90,3.6,overcast clouds
livingston,55.9029,-3.5226,274.15,75,90,7.2,overcast clouds
jangaon,17.7167,79.1833,289.37,49,56,0.74,broken clouds
madang,-5.2246,145.7966,300.63,79,100,2.11,overcast clouds
hithadhoo,-0.6,73.0833,300.94,70,12,4.78,few clouds
cidreira,-30.1811,-50.2056,294.46,73,0,3.3,clear sky
port alfred,-33.5906,26.891,290.93,95,95,1.34,overcast clouds
clyde river,70.4692,-68.5914,251.15,92,1,1.54,mist
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
bathsheba,13.2167,-59.5167,298.15,65,40,7.72,scattered clouds
gizo,-8.103,156.8419,302.7,73,100,4.72,light rain
east london,-33.0153,27.9116,294.64,83,90,4.17,light rain
bambanglipuro,-7.95,110.2833,301.8,72,93,1.95,overcast clouds
new norfolk,-42.7826,147.0587,289.82,64,100,0.89,overcast clouds
port alfred,-33.5906,26.891,290.93,95,95,1.34,overcast clouds
mabaruma,8.2,-59.7833,295.91,97,100,1.59,overcast clouds
pisco,-13.7,-76.2167,296.15,78,75,2.57,broken clouds
pevek,69.7008,170.3133,251.62,83,0,1.08,clear sky
rikitea,-23.1203,-134.9692,298.42,71,59,5.89,broken clouds
ekhabi,53.5102,142.9671,266.59,97,100,9.56,snow
arraial do cabo,-22.9661,-42.0278,295.44,81,100,3.96,moderate rain
matara,5.9485,80.5353,297.59,88,22,1.84,few clouds
torbay,47.6666,-52.7314,272.04,69,20,14.4,few clouds
