City_ID,name,country,max_temp,current_description,lat,lng,Hotel Name
523,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
524,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
533,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
546,witu,ke,75.72,overcast clouds,-2.3889,40.4382,New City Guest House
552,marawi,sd,78.01,overcast clouds,7.9986,124.2928,Derogongan Residence
553,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
561,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
570,bubaque,gw,78.48,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
573,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
589,cayenne,gf,78.8,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
590,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
601,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
622,omboue,ga,77.97,overcast clouds,-1.5746,9.2618,Hotel Olako
623,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
630,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
637,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
642,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
647,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
658,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
686,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
695,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
704,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
709,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
711,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
712,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
